Loyalty#,cluster_behavior_agglomerative_ward,cluster_value_agglomerative_ward,agglomerative_ward_behavior_level,agglomerative_ward_value_level,agglomerative_ward_final_segment
100018,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
100102,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
100140,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
100214,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
100272,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
100301,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
100364,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
100380,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
100428,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
100504,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
100550,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
100585,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
100590,0,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
100642,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
100644,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
100646,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
100727,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
100737,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
100753,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
100816,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
100853,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
100883,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
100890,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
101018,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
101148,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
101356,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
101363,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
101487,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
101515,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
101540,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
101544,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
101547,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
101581,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
101594,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
101644,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
101663,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
101664,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
101709,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
101768,0,0,High,High,"Champions (High value, High engagement)"
101876,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
101895,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
101902,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
101945,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
102168,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
102184,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
102207,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
102299,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
102308,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
102311,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
102376,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
102464,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
102615,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
102726,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
102730,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
102740,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
102788,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
102851,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
102877,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
102982,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
103043,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
103151,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
103217,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
103304,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
103340,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
103352,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
103359,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
103362,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
103383,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
103436,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
103490,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
103502,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
103536,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
103699,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
103731,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
103758,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
103823,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
103860,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
103862,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
103916,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
103969,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
103970,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
103975,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
103985,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
104103,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
104267,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
104353,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
104431,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
104541,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
104586,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
104673,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
104732,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
104739,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
104849,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
104960,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
105063,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
105073,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
105074,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
105145,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
105193,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
105214,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
105251,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
105335,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
105352,3,1,Low,Low,"Dormant / Low Value (Low value, Low engagement)"
105552,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
105688,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
105700,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
105712,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
105789,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
105835,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
105841,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
105921,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
105932,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
105992,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
106001,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
106037,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
106038,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
106046,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
106048,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
106218,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
106397,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
106444,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
106477,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
106509,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
106589,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
106592,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
106616,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
106623,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
106637,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
106689,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
106754,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
106757,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
106776,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
106838,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
106839,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
106936,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
106946,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
106964,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
106978,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
106979,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
107037,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
107067,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
107119,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
107141,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
