Loyalty#,cluster_behavior_kmeans,cluster_value_kmeans,kmeans_behavior_level,kmeans_value_level,kmeans_final_segment
100018,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
100102,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
100140,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
100214,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
100272,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
100301,0,1,High,High,"Champions (High value, High engagement)"
100364,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
100380,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
100428,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
100504,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
100550,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
100585,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
100590,2,1,Medium,High,"Loyal Customers (High value, Medium engagement)"
100642,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
100644,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
100646,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
100727,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
100737,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
100753,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
100816,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
100853,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
100883,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
100890,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
101018,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
101148,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
101356,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
101363,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
101487,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
101515,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
101540,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
101544,0,1,High,High,"Champions (High value, High engagement)"
101547,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
101581,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
101594,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
101644,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
101663,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
101664,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
101709,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
101768,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
101876,2,0,Medium,Medium,"Core Customers (Medium value, Medium engagement)"
101895,0,1,High,High,"Champions (High value, High engagement)"
101902,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
101945,0,0,High,Medium,"Potential Loyalists (Medium value, High engagement)"
